date,Month,city_name,category,item_id,item_name,qty_sold,mrp,,
10-12-2023,Dec,Kharar,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
20-10-2023,Oct,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
02-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
04-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),18,18882,,
31-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,17,6375,,
04-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),33,34617,,
12-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),2,2098,,
13-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),3,3147,,
13-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),21,22029,,
18-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,20,7500,,
26-12-2023,Dec,Ludhiana,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
28-11-2023,Nov,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
01-12-2023,Dec,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
09-10-2023,Oct,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,6,2250,,
10-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),6,28494,,
15-11-2023,Nov,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,6,2250,,
14-11-2023,Nov,Meerut,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
12-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,3,1125,,
07-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
29-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),4,6600,,
29-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),3,4950,,
12-11-2023,Nov,Dehradun,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
01-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),10,16500,,
20-12-2023,Dec,Amritsar,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
28-12-2023,Dec,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,7,2625,,
03-10-2023,Oct,Delhi,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),6,9900,,
04-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),28,29372,,
27-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
